state,year,d,r,winner,margin_of_victory
New Mexico,1976,48,51,R,3
New York,1976,52,48,D,4
North Carolina,1976,55,44,D,11
North Dakota,1976,46,52,R,6
Ohio,1976,49,48,D,1
Oklahoma,1976,49,50,R,1
Oregon,1976,47,48,R,1
Pennsylvania,1976,50,48,D,2
Rhode Island,1976,55,44,D,11
South Carolina,1976,56,43,D,13
South Dakota,1976,49,50,R,1
Tennessee,1976,56,43,D,13
Texas,1976,51,48,D,3
Utah,1976,34,62,R,28
Vermont,1976,43,54,R,11
Virginia,1976,48,49,R,1
Washington,1976,46,50,R,4
West Virginia,1976,58,42,D,16
Wisconsin,1976,49,48,D,1
Wyoming,1976,40,59,R,19
Alabama,1972,26,72,R,46
Alaska,1972,35,58,R,23
Arizona,1972,32,65,R,33
Arkansas,1972,31,69,R,38
California,1972,42,55,R,13
Colorado,1972,35,63,R,28
Connecticut,1972,40,59,R,19
D.C.,1972,78,22,D,56
Delaware,1972,39,60,R,21
Florida,1972,28,72,R,44
Georgia,1972,25,75,R,50
Hawaii,1972,38,62,R,24
Idaho,1972,26,64,R,38
Illinois,1972,41,59,R,18
Indiana,1972,33,66,R,33
Iowa,1972,41,58,R,17
Kansas,1972,30,68,R,38
Kentucky,1972,35,63,R,28
Louisiana,1972,28,65,R,37
Maine,1972,39,61,R,22
Maryland,1972,37,61,R,24
Massachusetts,1972,54,45,D,9
Michigan,1972,42,56,R,14
Minnesota,1972,46,52,R,6
Mississippi,1972,20,78,R,58
Missouri,1972,38,62,R,24
Montana,1972,38,58,R,20
Nebraska,1972,30,70,R,40
Nevada,1972,36,64,R,28
New Hampshire,1972,35,64,R,29
New Jersey,1972,37,62,R,25
New Mexico,1972,37,61,R,24
New York,1972,41,59,R,18
North Carolina,1972,29,70,R,41
North Dakota,1972,36,62,R,26
Ohio,1972,38,60,R,22
Oklahoma,1972,24,74,R,50
Oregon,1972,42,52,R,10
Pennsylvania,1972,39,59,R,20
Rhode Island,1972,47,53,R,6
South Carolina,1972,28,71,R,43
South Dakota,1972,46,54,R,8
Tennessee,1972,30,68,R,38
Texas,1972,33,66,R,33
Utah,1972,26,68,R,42
Vermont,1972,37,63,R,26
Virginia,1972,30,68,R,38
Washington,1972,39,57,R,18
West Virginia,1972,36,64,R,28
Wisconsin,1972,44,53,R,9
Wyoming,1972,31,69,R,38
