year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,place
2015,"West Jordan city, Utah",16000US4982950,111942,,,21315,,,,,30.8,32234,239500,68928,68928,9706,11492,49,82950
2015,"West Valley City city, Utah",16000US4983470,136224,68902,2628,44080,8716,3142,5863,0,30.7,35654,178400,57111,57111,19804,30712,49,83470
2015,"Alexandria city, Virginia",16000US5101000,153511,79782,30984,25573,9874,0,0,272,36.6,69008,541700,90056,90056,13916,44030,51,01000
2015,"Arlington CDP, Virginia",16000US5103000,229164,141340,19676,35911,24120,160,202,1807,34.4,103408,655000,106768,106768,15995,55205,51,03000
2015,"Centreville CDP, Virginia",16000US5114440,71782,,,9613,,,,,36,24169,429900,104056,104056,3953,27797,51,14440
2015,"Chesapeake city, Virginia",16000US5116000,235429,137191,69072,12959,8085,506,254,665,36.7,83593,259200,67491,67491,22550,13966,51,16000
2015,"Dale City CDP, Virginia",16000US5121088,71399,,,23868,,,,,33.4,19570,289100,82994,82994,8787,22306,51,21088
2015,"Hampton city, Virginia",16000US5135000,136454,,,7513,,,,,35.5,53132,183700,51867,51867,19792,6204,51,35000
2015,"Lynchburg city, Virginia",16000US5147672,79812,,,2689,,,,,28.7,27864,156100,39374,39374,17160,4364,51,47672
2015,"Newport News city, Virginia",16000US5156000,182385,81371,70751,15780,6405,346,308,1017,32.8,70546,196400,48630,48630,28895,12589,51,56000
2015,"Norfolk city, Virginia",16000US5157000,246393,108400,101262,18760,9100,1251,159,143,30.2,87819,204800,45996,45996,45136,16702,51,57000
2015,"Portsmouth city, Virginia",16000US5164000,96201,37478,50038,3896,530,471,0,367,33.6,36654,162300,49242,49242,16687,1815,51,64000
2015,"Richmond city, Virginia",16000US5167000,220289,89123,104138,14259,4866,93,112,589,33.6,91396,199900,39906,39906,51466,15741,51,67000
2015,"Roanoke city, Virginia",16000US5168000,99897,,,6091,,,,,36.9,41501,134100,39835,39835,21757,7346,51,68000
2015,"Suffolk city, Virginia",16000US5176432,88161,,,3539,,,,,38.2,32232,234200,61203,61203,12205,2829,51,76432
2015,"Virginia Beach city, Virginia",16000US5182000,452745,281686,85867,36309,28358,1024,252,473,35.4,169097,262900,67281,67281,34702,38360,51,82000
