year,name,geo_id,total_population,white,black,hispanic,asian,american_indian,pacific_islander,other_race,median_age,total_households,owner_occupied_homes_median_value,per_capita_income,median_household_income,below_poverty_line,foreign_born_population,state,congressional_district
2015,"Congressional District 9 (114th Congress), Texas",50000US4809,782554,85099,294750,299554,93368,889,696,1489,32.4,267279,120200,43572,43572,155661,275152,48,09
2015,"Congressional District 10 (114th Congress), Texas",50000US4810,792770,416037,86382,228951,44965,1440,195,2804,35.8,283464,210200,70494,70494,78614,138099,48,10
2015,"Congressional District 11 (114th Congress), Texas",50000US4811,761153,422529,26783,291656,8085,1806,362,782,35.3,269037,132900,56334,56334,94962,72141,48,11
2015,"Congressional District 12 (114th Congress), Texas",50000US4812,788381,499456,64437,172563,31080,2180,1605,549,35.8,282312,151900,62274,62274,88886,78664,48,12
2015,"Congressional District 13 (114th Congress), Texas",50000US4813,707365,450957,35241,187164,14860,4507,671,457,36.2,257511,110200,49281,49281,105172,65085,48,13
2015,"Congressional District 14 (114th Congress), Texas",50000US4814,739877,380272,143928,179820,19246,1257,209,356,37.1,267407,144100,57520,57520,103715,77437,48,14
2015,"Congressional District 15 (114th Congress), Texas",50000US4815,766342,121929,14657,617572,8039,242,200,540,30.7,214345,92900,41993,41993,206261,174596,48,15
2015,"Congressional District 16 (114th Congress), Texas",50000US4816,741162,105539,27463,589009,10353,1823,0,1404,32.3,235672,119000,45316,45316,134274,173997,48,16
2015,"Congressional District 17 (114th Congress), Texas",50000US4817,750140,416106,96428,186295,37302,1185,54,172,32.5,274547,153200,51024,51024,129445,91837,48,17
2015,"Congressional District 18 (114th Congress), Texas",50000US4818,764622,123905,275252,326443,29642,1265,111,2127,32.3,268114,116900,43100,43100,175824,168210,48,18
2015,"Congressional District 19 (114th Congress), Texas",50000US4819,725517,394121,40666,264606,9409,2727,107,935,32.7,251761,100000,47305,47305,118173,53800,48,19
2015,"Congressional District 20 (114th Congress), Texas",50000US4820,774521,169339,42405,525191,22326,1027,1150,556,31.6,250022,126600,49404,49404,135966,109328,48,20
2015,"Congressional District 21 (114th Congress), Texas",50000US4821,771369,476050,30213,219618,28489,1588,513,1273,38.1,309497,249500,65254,65254,67384,75768,48,21
2015,"Congressional District 22 (114th Congress), Texas",50000US4822,861570,356182,113971,215021,154807,2776,95,1925,35.3,274785,238400,95048,95048,57800,221800,48,22
2015,"Congressional District 23 (114th Congress), Texas",50000US4823,747732,184444,21889,521424,10908,2535,95,463,33.1,221835,114600,53917,53917,126762,125544,48,23
2015,"Congressional District 24 (114th Congress), Texas",50000US4824,779968,377578,77181,191979,105439,2094,2270,2733,35.6,305157,230800,68161,68161,69617,183200,48,24
2015,"Congressional District 25 (114th Congress), Texas",50000US4825,762034,529902,51300,134116,20054,2088,4371,928,36.9,267588,212700,65706,65706,80686,58342,48,25
2015,"Congressional District 26 (114th Congress), Texas",50000US4826,818125,534310,65815,144687,52268,2359,0,595,34.5,274216,216500,79738,79738,57620,101565,48,26
2015,"Congressional District 27 (114th Congress), Texas",50000US4827,734713,293565,35564,385429,11082,1526,356,376,35.9,263740,124500,50764,50764,123924,65694,48,27
2015,"Congressional District 28 (114th Congress), Texas",50000US4828,724967,115412,26419,566908,7713,775,0,956,31.9,210726,110000,45054,45054,183885,160881,48,28
2015,"Congressional District 29 (114th Congress), Texas",50000US4829,758771,72794,81866,586477,11936,738,246,286,29.5,228854,98000,40871,40871,192699,251792,48,29
2015,"Congressional District 30 (114th Congress), Texas",50000US4830,754382,112145,325288,294909,11717,1095,73,263,32.8,259435,110700,42439,42439,177452,136491,48,30
2015,"Congressional District 31 (114th Congress), Texas",50000US4831,804974,456764,86800,195546,38296,1153,1336,1063,34.2,277160,200000,65377,65377,85568,85360,48,31
