Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)","Free Meal Count (K-12)","Percent (%) Eligible Free (K-12)","FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2013-14 CALPADS Fall 1 Certification Status"
2014-2015,01,61192,0113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2                             ,Y,0836,Directly funded,Y,9,12,468.0,253.0,0.5405982905982906,337.0,0.7200854700854701,451.0,241.0,0.5343680709534369,325.0,0.720620842572062,Y
2014-2015,01,61192,0119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,,Y,1067,Directly funded,Y,1,8,209.0,18.0,0.0861244019138756,20.0,0.09569377990430622,209.0,18.0,0.0861244019138756,20.0,0.09569377990430622,Y
2014-2015,01,61192,0127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,1514,Directly funded,Y,K,8,263.0,117.0,0.4448669201520912,157.0,0.596958174904943,259.0,117.0,0.4517374517374517,155.0,0.5984555984555985,Y
2014-2015,01,61192,0127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,,Y,1543,Directly funded,Y,9,12,112.0,52.0,0.4642857142857143,53.0,0.4732142857142857,112.0,52.0,0.4642857142857143,53.0,0.4732142857142857,Y
2014-2015,01,61192,0131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,,N,,,N,K,12,14.0,11.0,0.7857142857142857,11.0,0.7857142857142857,12.0,9.0,0.75,9.0,0.75,Y
2014-2015,01,61192,0133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,185.0,131.0,0.7081081081081081,139.0,0.7513513513513513,131.0,97.0,0.7404580152671756,104.0,0.7938931297709924,Y
2014-2015,01,61192,0133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1644.0,1057.0,0.6429440389294404,1218.0,0.7408759124087592,1600.0,1030.0,0.64375,1188.0,0.7425,Y
2014-2015,01,61192,0135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1935.0,1100.0,0.5684754521963824,1337.0,0.6909560723514212,1886.0,1071.0,0.5678685047720042,1301.0,0.6898197242841994,Y
2014-2015,01,61192,0138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,1324.0,953.0,0.7197885196374623,1078.0,0.8141993957703928,1265.0,910.0,0.7193675889328063,1030.0,0.8142292490118577,Y
2014-2015,01,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,455.0,301.0,0.6615384615384615,353.0,0.7758241758241758,455.0,301.0,0.6615384615384615,353.0,0.7758241758241758,Y
2014-2015,01,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,794.0,572.0,0.7204030226700252,643.0,0.809823677581864,794.0,572.0,0.7204030226700252,643.0,0.809823677581864,Y
2014-2015,01,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,783.0,597.0,0.7624521072796935,665.0,0.8492975734355045,766.0,583.0,0.7610966057441253,650.0,0.8485639686684073,Y
2014-2015,01,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,635.0,314.0,0.494488188976378,352.0,0.5543307086614173,627.0,311.0,0.4960127591706539,348.0,0.5550239234449761,Y
2014-2015,01,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,506.0,336.0,0.6640316205533597,383.0,0.7569169960474308,506.0,336.0,0.6640316205533597,383.0,0.7569169960474308,Y
2014-2015,01,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,6,600.0,395.0,0.6583333333333333,451.0,0.7516666666666667,581.0,385.0,0.6626506024096386,440.0,0.7573149741824441,Y
