cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
07616970737023,S,John Swett High,John Swett Unified,Contra Costa,93,31,477,512,485,14,45.16
07617210000000,D,,Liberty Union High,Contra Costa,2106,815,493,485,487,353,43.31
07617210107797,S,Heritage High,Liberty Union High,Contra Costa,571,324,520,510,511,180,55.56
07617210730457,S,Freedom High,Liberty Union High,Contra Costa,594,227,470,455,464,70,30.84
07617210730572,S,Independence High,Liberty Union High,Contra Costa,212,2,,,,,
07617210733980,S,Liberty High,Liberty Union High,Contra Costa,621,262,479,479,476,103,39.31
07617390000000,D,,Martinez Unified,Contra Costa,341,118,518,543,523,70,59.32
07617390730473,S,Briones (Alternative),Martinez Unified,Contra Costa,19,0,NA,NA,NA,NA,NA
07617390730549,S,Alhambra Senior High,Martinez Unified,Contra Costa,271,118,518,543,523,70,59.32
07617540000000,D,,Mt. Diablo Unified,Contra Costa,2236,753,512,523,506,402,53.39
07617540730044,S,Northgate High,Mt. Diablo Unified,Contra Costa,439,180,568,586,566,134,74.44
07617540730317,S,Horizons Alternative,Mt. Diablo Unified,Contra Costa,55,2,,,,,
07617540731646,S,College Park High,Mt. Diablo Unified,Contra Costa,460,235,540,558,527,154,65.53
07617540731836,S,Concord High,Mt. Diablo Unified,Contra Costa,343,121,491,505,488,56,46.28
07617540734566,S,Mt. Diablo High,Mt. Diablo Unified,Contra Costa,329,113,437,436,436,25,22.12
07617540737809,S,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,267,102,458,455,451,33,32.35
07617880000000,D,,Pittsburg Unified,Contra Costa,719,290,446,436,442,64,22.07
07617880735407,S,Pittsburg Senior High,Pittsburg Unified,Contra Costa,580,290,446,436,442,64,22.07
07617960000000,D,,West Contra Costa Unified,Contra Costa,2104,1553,407,407,410,278,17.90
07617960101477,S,Leadership Public Schools: Richmond,West Contra Costa Unified,Contra Costa,112,102,394,413,410,11,10.78
07617960730275,S,North Campus Continuation,West Contra Costa Unified,Contra Costa,111,22,324,307,328,0,0.00
07617960730291,S,Middle College High,West Contra Costa Unified,Contra Costa,62,68,500,526,509,33,48.53
07617960730325,S,Vista High (Alternative),West Contra Costa Unified,Contra Costa,65,27,393,378,404,1,3.70
07617960730598,S,Hercules High,West Contra Costa Unified,Contra Costa,209,196,451,454,454,57,29.08
07617960732164,S,De Anza Senior High,West Contra Costa Unified,Contra Costa,242,204,399,395,409,26,12.75
07617960732941,S,El Cerrito Senior High,West Contra Costa Unified,Contra Costa,302,262,444,445,439,77,29.39
07617960733253,S,Gompers (Samuel) Continuation,West Contra Costa Unified,Contra Costa,173,19,314,289,312,0,0.00
07617960733659,S,Kennedy High,West Contra Costa Unified,Contra Costa,172,134,346,345,348,7,5.22
07617960735316,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,296,246,426,417,422,55,22.36
07617960735902,S,Richmond High,West Contra Costa Unified,Contra Costa,335,273,357,354,358,11,4.03
07618040000000,D,,San Ramon Valley Unified,Contra Costa,2441,1724,582,612,581,1403,81.38
07618040113118,S,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,608,528,604,651,613,457,86.55
07618040730051,S,California High,San Ramon Valley Unified,Contra Costa,630,435,576,606,571,342,78.62
07618040730218,S,Venture (Alternative),San Ramon Valley Unified,Contra Costa,88,16,559,539,523,11,68.75
07618040734368,S,Monte Vista High,San Ramon Valley Unified,Contra Costa,516,362,566,591,566,271,74.86
07618040736504,S,San Ramon Valley High,San Ramon Valley Unified,Contra Costa,562,383,574,587,567,322,84.07
08000000000000,C,,,Del Norte,400,81,481,508,469,38,46.91
08100820000000,D,,Del Norte County Office of Education,Del Norte,143,4,,,,,
08100820830059,S,Castle Rock,Del Norte County Office of Education,Del Norte,121,4,,,,,
08618200000000,D,,Del Norte County Unified,Del Norte,257,77,476,510,464,35,45.45
08618200833004,S,Del Norte High,Del Norte County Unified,Del Norte,215,77,476,510,464,35,45.45
09000000000000,C,,,El Dorado,2245,938,537,549,525,628,66.95
09100900000000,D,,El Dorado County Office of Education,El Dorado,163,16,564,550,527,13,81.25
09100900930123,S,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,94,16,564,550,527,13,81.25
09618530000000,D,,El Dorado Union High,El Dorado,1684,788,541,556,530,540,68.53
09618530930081,S,Oak Ridge High,El Dorado Union High,El Dorado,563,386,546,570,542,280,72.54
09618530930164,S,Union Mine High,El Dorado Union High,El Dorado,208,75,533,517,498,40,53.33
09618530930214,S,EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,34,6,,,,,
09618530932756,S,El Dorado High,El Dorado Union High,El Dorado,305,115,534,522,516,66,57.39
09618530934554,S,Independence Continuation,El Dorado Union High,El Dorado,73,1,,,,,
09618530936302,S,Ponderosa High,El Dorado Union High,El Dorado,433,205,539,564,527,149,72.68
09619030000000,D,,Lake Tahoe Unified,El Dorado,277,107,503,502,488,55,51.40
09619030937805,S,South Tahoe High,Lake Tahoe Unified,El Dorado,212,107,503,502,488,55,51.40
09737830000000,D,,Black Oak Mine Unified,El Dorado,121,27,537,541,514,20,74.07
09737830121566,S,American River Charter,Black Oak Mine Unified,El Dorado,15,0,NA,NA,NA,NA,NA
09737830930073,S,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,100,27,537,541,514,20,74.07
10000000000000,C,,,Fresno,15003,5907,452,456,446,1710,28.95
10101080000000,D,,Fresno County Office of Education,Fresno,467,6,,,,,
10101080109991,S,Crescent View West Charter,Fresno County Office of Education,Fresno,274,0,NA,NA,NA,NA,NA
10101080111682,S,Hume Lake Charter,Fresno County Office of Education,Fresno,5,1,,,,,
10101080119628,S,Big Picture High School - Fresno,Fresno County Office of Education,Fresno,20,5,,,,,
10621170000000,D,,Clovis Unified,Fresno,3103,1582,502,511,494,779,49.24
10621170113555,S,Clovis North High,Clovis Unified,Fresno,493,328,524,535,519,193,58.84
10621170118018,S,Clovis Online Charter,Clovis Unified,Fresno,95,9,,,,,
10621171030196,S,Clovis West High,Clovis Unified,Fresno,538,335,508,526,507,176,52.54
10621171030469,S,Enterprise Alternative,Clovis Unified,Fresno,19,0,NA,NA,NA,NA,NA
10621171030501,S,Buchanan High,Clovis Unified,Fresno,574,330,522,524,507,189,57.27
10621171030683,S,Clovis East High,Clovis Unified,Fresno,493,264,467,471,455,90,34.09
10621171031004,S,Gateway High (Continuation),Clovis Unified,Fresno,120,3,,,,,
10621171031053,S,Clovis High,Clovis Unified,Fresno,758,313,484,492,477,129,41.21
10621250000000,D,,Coalinga-Huron Unified,Fresno,317,72,465,446,455,24,33.33
10621251031376,S,Coalinga High,Coalinga-Huron Unified,Fresno,269,72,465,446,455,24,33.33
10621580000000,D,,Fowler Unified,Fresno,186,104,424,417,423,19,18.27
10621581032150,S,Fowler High,Fowler Unified,Fresno,172,104,424,417,423,19,18.27
10621660000000,D,,Fresno Unified,Fresno,5057,2216,435,438,427,508,22.92
10621660108555,S,Design Science Early College High,Fresno Unified,Fresno,81,74,487,502,468,34,45.95
10621660114355,S,Sierra Charter,Fresno Unified,Fresno,129,8,,,,,
10621660114553,S,University High,Fresno Unified,Fresno,110,113,604,587,593,102,90.27
10621660115196,S,Fresno Academy for Civic and Entrepreneurial Leade,Fresno Unified,Fresno,41,10,,,,,
10621661030279,S,Bullard High,Fresno Unified,Fresno,594,334,473,463,460,107,32.04
10621661030287,S,J. E. Young Academic Center,Fresno Unified,Fresno,237,0,NA,NA,NA,NA,NA
10621661030295,S,Erma Duncan Polytechnical High,Fresno Unified,Fresno,188,104,396,418,389,5,4.81
10621661030642,S,School of Unlimited Learning,Fresno Unified,Fresno,100,0,NA,NA,NA,NA,NA
10621661030675,S,Sunnyside High,Fresno Unified,Fresno,676,421,403,411,399,39,9.26
10621661030840,S,Carter G. Woodson Public Charter,Fresno Unified,Fresno,169,0,NA,NA,NA,NA,NA
10621661031897,S,Edison High,Fresno Unified,Fresno,524,368,471,470,458,140,38.04
10621661032507,S,Fresno High,Fresno Unified,Fresno,470,144,424,428,416,23,15.97
10621661032911,S,Herbert Hoover High,Fresno Unified,Fresno,379,211,415,417,401,29,13.74
10621661034214,S,McLane High,Fresno Unified,Fresno,450,212,370,388,376,8,3.77
10621661035831,S,Roosevelt High,Fresno Unified,Fresno,435,217,377,384,379,17,7.83
10622570000000,D,,Kingsburg Joint Union High,Fresno,293,112,487,481,471,44,39.29
10622570124727,S,Kingsburg Independent Study High,Kingsburg Joint Union High,Fresno,22,0,NA,NA,NA,NA,NA
10622571033695,S,Kingsburg High,Kingsburg Joint Union High,Fresno,258,112,487,481,471,44,39.29
10622650000000,D,,Kings Canyon Joint Unified,Fresno,754,235,441,446,437,57,24.26
10622650108092,S,Orange Cove High,Kings Canyon Joint Unified,Fresno,121,56,393,395,405,1,1.79
10622650116640,S,Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,30,0,NA,NA,NA,NA,NA
10622651030378,S,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,99,1,,,,,
10622651035310,S,Reedley High,Kings Canyon Joint Unified,Fresno,449,178,456,462,448,56,31.46
10622810000000,D,,Laton Joint Unified,Fresno,47,0,NA,NA,NA,NA,NA
10622811033950,S,Laton High,Laton Joint Unified,Fresno,47,0,NA,NA,NA,NA,NA
10623310000000,D,,Orange Center,Fresno,23,0,NA,NA,NA,NA,NA
10623310124354,S,National University Academy - Orange Center,Orange Center,Fresno,12,0,NA,NA,NA,NA,NA
10623310130880,S,Academy of Arts and Sciences: Fresno,Orange Center,Fresno,11,0,NA,NA,NA,NA,NA
10623640000000,D,,Parlier Unified,Fresno,225,78,387,398,386,5,6.41
10623641034990,S,Parlier High,Parlier Unified,Fresno,185,78,387,398,386,5,6.41
10623800000000,D,,Raisin City Elementary,Fresno,291,0,NA,NA,NA,NA,NA
10623800124982,S,Ambassador Phillip V. Sanchez Public Charter,Raisin City Elementary,Fresno,291,0,NA,NA,NA,NA,NA
10624140000000,D,,Sanger Unified,Fresno,714,309,437,446,432,65,21.04
10624141030451,S,Taft High,Sanger Unified,Fresno,39,0,NA,NA,NA,NA,NA
10624141030766,S,Hallmark Charter,Sanger Unified,Fresno,41,21,475,445,460,7,33.33
10624141036086,S,Kings River High (Continuation),Sanger Unified,Fresno,41,1,,,,,
10624141036094,S,Sanger High,Sanger Unified,Fresno,593,287,434,446,430,58,20.21
10624300000000,D,,Selma Unified,Fresno,427,186,434,422,425,32,17.20
10624301030758,S,Selma Independent,Selma Unified,Fresno,36,0,NA,NA,NA,NA,NA
10624301036672,S,Selma High,Selma Unified,Fresno,375,186,434,422,425,32,17.20
10625390000000,D,,West Park Elementary,Fresno,107,0,NA,NA,NA,NA,NA
10625396112387,S,West Park Charter Academy,West Park Elementary,Fresno,107,0,NA,NA,NA,NA,NA
10625470000000,D,,Westside Elementary,Fresno,306,1,,,,,
10625470120535,S,Crescent View South Charter,Westside Elementary,Fresno,305,0,NA,NA,NA,NA,NA
10625470127159,S,Opportunities For Learning - Fresno,Westside Elementary,Fresno,1,1,,,,,
10738090000000,D,,Firebaugh-Las Deltas Unified,Fresno,174,84,401,373,396,4,4.76
10738091030121,S,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,168,84,401,373,396,4,4.76
10739650000000,D,,Central Unified,Fresno,1071,368,451,449,449,92,25.00
10739651030386,S,Central Unified Alternative/Opportunity,Central Unified,Fresno,126,0,NA,NA,NA,NA,NA
10739651030626,S,Central High East Campus,Central Unified,Fresno,877,368,451,449,449,92,25.00
10739990000000,D,,Kerman Unified,Fresno,312,132,434,426,425,21,15.91
10739991033430,S,Kerman High,Kerman Unified,Fresno,292,132,434,426,425,21,15.91
10751270000000,D,,Mendota Unified,Fresno,192,62,385,395,378,4,6.45
10751271030493,S,Mendota High,Mendota Unified,Fresno,184,62,385,395,378,4,6.45
10752340000000,D,,Golden Plains Unified,Fresno,122,55,375,402,386,4,7.27
10752341037456,S,Tranquillity High,Golden Plains Unified,Fresno,109,55,375,402,386,4,7.27
10752750000000,D,,Sierra Unified,Fresno,148,50,522,500,501,24,48.00
10752751036938,S,Sierra High,Sierra Unified,Fresno,132,50,522,500,501,24,48.00
10754080000000,D,,Riverdale Joint Unified,Fresno,130,69,422,424,429,12,17.39
10754081035575,S,Riverdale High,Riverdale Joint Unified,Fresno,127,69,422,424,429,12,17.39
10755980000000,D,,Caruthers Unified,Fresno,150,72,413,422,397,10,13.89
10755981030535,S,Caruthers High,Caruthers Unified,Fresno,143,72,413,422,397,10,13.89
10767780000000,D,,Washington Unified,Fresno,387,114,391,395,394,6,5.26
10767780122473,S,Elm High,Washington Unified,Fresno,76,0,NA,NA,NA,NA,NA
10767781030774,S,W. E. B. DuBois Public Charter,Washington Unified,Fresno,87,1,,,,,
10767781038306,S,Washington High,Washington Unified,Fresno,218,113,392,396,394,6,5.31
11000000000000,C,,,Glenn,529,107,473,475,469,37,34.58
11101160000000,D,,Glenn County Office of Education,Glenn,139,2,,,,,
11101160130724,S,Success One!,Glenn County Office of Education,Glenn,35,0,NA,NA,NA,NA,NA
11101160130807,S,Conservation Corps of Long Beach Gateway Cities Ch,Glenn County Office of Education,Glenn,83,0,NA,NA,NA,NA,NA
11101161130103,S,William Finch,Glenn County Office of Education,Glenn,16,2,,,,,
11626460000000,D,,Princeton Joint Unified,Glenn,19,7,,,,,
11626461136209,S,Princeton Junior-Senior High,Princeton Joint Unified,Glenn,19,7,,,,,
11626610000000,D,,Willows Unified,Glenn,111,30,459,473,468,9,30.00
11626611132851,S,Willows High,Willows Unified,Glenn,99,30,459,473,468,9,30.00
11754810000000,D,,Orland Joint Unified,Glenn,182,38,498,480,480,13,34.21
11754811135656,S,Orland High,Orland Joint Unified,Glenn,173,38,498,480,480,13,34.21
11765620000000,D,,Hamilton Unified,Glenn,68,30,456,465,466,11,36.67
11765621133701,S,Hamilton High,Hamilton Unified,Glenn,61,30,456,465,466,11,36.67
12000000000000,C,,,Humboldt,1354,469,534,519,508,276,58.85
12101240000000,D,,Humboldt County Office of Education,Humboldt,70,35,620,534,579,32,91.43
